"","N","prior","delta","lambda","delta_median","lambda_median","b0_median","b1_median","bf10","sdr10"
"186",30,4,0.5,0.333333333333333,4.24538731507293,0.515838412407958,0.791126038050729,-0.687119304470307,0.463866143979906,0
"187",30,2,0.5,0.333333333333333,1.71463919239595,0.513416961696245,-0.659177583001613,-1.37834579467951,0.39083261659154,0.419
"188",30,3,0.5,0.333333333333333,2.73980045324156,0.546430178454138,-0.660603166343609,-1.37331997784816,0.368326725421975,0.478
"189",30,4,0.5,0.333333333333333,4.29732100913662,0.564156568641442,-0.66482761402957,-1.38528778291442,0.352729883703515,0.467
"190",30,2,0.5,0.333333333333333,1.53066297134112,0.50841403363691,0.44900483763922,0.0590749413752565,0.254710956152399,0.261
"191",30,3,0.5,0.333333333333333,2.55570188338359,0.554776959361003,0.447534511594664,0.0603083609172252,0.23390454020943,0.381
"192",30,4,0.5,0.333333333333333,4.02462590970635,0.575559061321275,0.448187573408831,0.0601312699490634,0.214342570537365,0.248
"193",30,2,0.5,0.333333333333333,1.8973731266885,0.382371910902616,-0.459875499516784,0.376709439081155,2.10017132324458,1.576
"194",30,3,0.5,0.333333333333333,2.85966625720611,0.392009589551577,-0.466170178986835,0.379744549821633,2.14092328696541,1.645
"195",30,4,0.5,0.333333333333333,4.48521518466467,0.401781928456505,-0.463276537102693,0.378041656712803,2.06516601038545,0.602
"196",30,2,0.5,0.333333333333333,2.14539203470147,0.400216574997942,-1.00974185831362,0.33364175672721,5.62411351205352,5.446
"197",30,3,0.5,0.333333333333333,3.25817638490489,0.402568466918878,-1.01489031109839,0.336469668273552,5.85078608965719,1.768
"198",30,4,0.5,0.333333333333333,4.98521309258295,0.410884814114768,-1.01951637645532,0.338657903098815,5.95334722173392,0
"199",30,2,0.5,0.333333333333333,1.69013756838981,0.453712076041348,-0.427217819310768,0.42221525562531,0.444548121267357,0
"200",30,3,0.5,0.333333333333333,2.74711507499176,0.485642474082995,-0.426071918044215,0.422010921988851,0.421740586302023,0.453
"201",30,4,0.5,0.333333333333333,4.25596259087562,0.493102177639513,-0.430184141507055,0.419025891941729,0.400157123960746,0
"202",30,2,0.5,0.333333333333333,1.59442087136285,0.466079244475543,-0.394811393279304,0.457625493180295,0.313201868406535,0.316
"203",30,3,0.5,0.333333333333333,2.61909599966162,0.501683600618966,-0.396171057625377,0.460764717718065,0.289130726339907,0.344
"204",30,4,0.5,0.333333333333333,4.05922571108836,0.525733555581016,-0.393464850733373,0.452503775517356,0.269026775318998,0.378
"205",30,2,0.5,0.333333333333333,1.82585998087714,0.239539882596076,-0.80534160625699,1.46586400225703,2.31324209026875,1.708
"206",30,3,0.5,0.333333333333333,2.73398463702472,0.238220980325556,-0.81478087584497,1.49001010074448,2.38655700023956,0
"207",30,4,0.5,0.333333333333333,4.16761712502038,0.241784950553027,-0.817165174079866,1.50616923990925,2.31043885712905,0
"208",30,2,0.5,0.333333333333333,1.74429171630096,0.412618690570976,0.187226965798016,-0.554305216489593,0.71938973858583,0.504
"209",30,3,0.5,0.333333333333333,2.72751710930124,0.44275243651062,0.184770574134235,-0.544822966082172,0.697125357886389,0.526
"210",30,4,0.5,0.333333333333333,4.12708830615133,0.450909306195819,0.189809699522257,-0.541726170442307,0.660313281769838,0.508
"211",30,2,0.5,0.333333333333333,1.70747506221374,0.243958048942804,-0.0873889942072212,-0.018590856340572,0.800539618848168,1.071
"212",30,3,0.5,0.333333333333333,2.64548269343408,0.245571322033789,-0.0886917755187614,-0.0186866459428841,0.787186046195226,0.541
"213",30,4,0.5,0.333333333333333,4.0888725770392,0.248565792405014,-0.0910155546582294,-0.0187548619478718,0.762566695679028,0.502
"214",30,2,0.5,0.333333333333333,1.72748788448751,0.388945159557786,0.075475115464029,-0.715542968406802,0.556062769035295,0.491
"215",30,3,0.5,0.333333333333333,2.65308837416757,0.404740493908021,0.0783758255891738,-0.717576549490445,0.535216283817746,0
"216",30,4,0.5,0.333333333333333,4.1848007483906,0.414253392384824,0.0774766195842225,-0.716822010345778,0.507799194098248,0
"217",30,2,0.5,0.333333333333333,1.76272606150421,0.497494766339168,0.32591635835252,-0.0506238604714589,0.451409903741996,0.479
"218",30,3,0.5,0.333333333333333,2.74396809890648,0.518580115108673,0.330763158839196,-0.0515415997009083,0.427100031989079,0.509
"219",30,4,0.5,0.333333333333333,4.34751725536631,0.539048324845786,0.332888415817392,-0.0516992426561057,0.413607570889277,0.467
